text,label
عايز الشيك من فضلك,X X X X
ابا الهابي ميل,X ItemName ItemName
نصف سوا,X X
ابغى اتطلع على طلباتي المسجلة,X X X X X
هاطلب عصير برتقال,X ItemName ItemName
ثقثقثقثقصرؤ,X
هلأ بدي الغي وجبة السوبر ستار,X X X ItemName ItemName ItemName
اقدر اروح على القائمة الرئيسية,X X X X X
اقدر اخد الفاتورة,X X X
محل سكني,X X
اريد الذهاب الى قائمة تغيير البيانات,X X X X X X
يعطيك العافية شنهو طريقة تغيير الجوال,X X X X X X
الحساب حضرتك,X X
ممكن تعطيني المنيو لو سمحت,X X X X X
خدلي الاوردر ده 3 بيتزا بيبروني مع باكت فرايز كبير,X X X itemnumber ItemName ItemName Include Topping_Include Topping_Include ItemSize
ياليت تزودني بالمنيو,X X X
مساء الخير,X X
جيبلي 2 ساندوتش برجر كبير مع بيبسي,X itemnumber ItemName ItemName ItemSize Include Topping_Include
و اطلبلي كمان 3 بيف برجر وسط,X X X itemnumber ItemName ItemName ItemSize
بدي تابع باللغة الفرنسية اذا بتريد,X X X Language X X
فيك تبعتلي منيو المشروبات في اريجاتو,X X X X X X
الثاني,X
اديني الشيك من فضلك,X X X X
وينه الاوردر 3058 الحين,X X OrderNumber X
الافيك العنوان الجديد,X X X
كنت حابب اغير لغة التواصل الى الانجليزية,X X X X X X Language
ماني عايز بصل,Exclude Exclude Topping_Exclude
فيني انتقل للمرحلة الأخيرة,X X X X
بدياك تعرفنى وينه اوردرى الان,X X X X X
ازاي بعمل الاوردر من فضلك,X X X X X
هختار الخضار مش البطاطس,Include Topping_Include Exclude Topping_Exclude
عايزة اشيل عنوان بيتي,X X X X
ممكن اتابع الاوردر وصل لحد فين,X X X X X X
ابغى مساعدة,X X
عايزة اسألك على حاجة,X X X X
عايز اتحدث بلغة اخرى,X X X X
وسط,ItemSize
ممكن ادفع الحساب,X X X
بلكي تعطيني المنيو,X X X
عايزة الحجم الكبير من فضلك,X X ItemSize X X
عايز اشوف منيو الفطار فى سانتوس,X X X X X X
فيني غير اللغة الى العربية,X X X X Language
فيه مشكلة صارت معي,X X X X
ابغا اراجع الطلبات حقى,X X X X
ابا شوف منيو وجبات الاطفال بماكدونالدز,X X X X X X
ريسبيسبق خنللاسي,X X
راح استلمه بقديش وقت,X X X X
حابب اتحدث باللغة العربية,X X X Language
ايه العروض الجديدة,X X X
ممكن توريني الاكل الي طلبتوا قبل كدا,X X X X X X X
وقتاش بيوصل الأوردر,X X X
ارسلي اجمال الطلب حقي,X X X X
رايد منك تبدل لى رقم هاتفى للرقم الجديد 98473555,X X X X X X X X phone
عايز فطيرة مكس جبن,X ItemName ItemName ItemName
لو سمحت تبعتلي الحساب,X X X X
عايز ارجع للقائمة الرئيسية,X X X X
ارسل لي المنيو من فضلك,X X X X X
فيني اتطلع عالأكل يلي طلبته من قبل,X X X X X X X
ابا الغي وجبة التوفير,X X ItemName ItemName
داير اتحدث باللغة الانجليزية,X X X Language
عايز اضيف عنواني,X X X
فرجيني منيو الفطار بماكدونالدز اذا بدك,X X X X X X
عايز اتابع الاوردر,X X X
لو في مجال تعدلي رقم الموبايل المتسجل عندكوا,X X X X X X X X
ابى اختار رقم اثنين,X X X X
فرجيني الاوردرات يلي طلبتها من قبل,X X X X X X
بدي اطلب باستا اذا بتريد,X X ItemName X X
فيني اطلع بالكارت,X X X
ممكن توريني الطلبات المفضلة,X X X X
عايز اعرف الاوردر رقم 98686 موصلش ليه اللى الان,X X X X OrderNumber X X X X
اعرض لي الاوردرات السابقة,X X X X
ابغى شوف منيو السلطات,X X X X
عايز اشوف الاوردر من جديد,X X X X X
بييروني,X
ابا اتحدث انقليزي,X X Language
كده الفاتورة عملت كام,X X X X
عايزة ارسل عنوان البيت,X X X X
كنت عايز القائمة الرئيسية,X X X X
الرلاا عللاى فيرستي5ة,X X X
بدي سوي فاتورتي,X X X
علبة كبيرة,X ItemSize
عايزة اشوف الطلبات المسجلة,X X X X
بدي اطلب وجبة ليتل تيستي اذا بتريد,X X ItemName ItemName ItemName X X
كان بدي اعطيك العنوان,X X X X
وريني الاوردرات الي طلبتها قبل كدا,X X X X X X
عندي طلب,X X
محتاج 3 بيتزا خضروات حجم متوسط,X itemnumber ItemName ItemName X ItemSize
هلأ بدي اتحدث مع انسان,X X X X X
خليني اتابع الأوردر وصل لحد فين,X X X X X X
ممكن استخدم رقم مختلف,X X X X
هولا,X
فيني شوف منيو العصائر بستاربكس,X X X X X
زودلي على الاوردر 2 ساندوتش فراخ,X X X itemnumber ItemName ItemName
عايز ممثل خدمة عملاء,X X X X
ممكن استرجع الطلبات المسجلة,X X X X
عايزة اشوف الطلبات تاني لو سمحت,X X X X X X
فيني شوف قائمة السندوتشات بليز,X X X MenuName X
من غير بصل,Exclude Exclude Topping_Exclude
ابعتلي الشيك,X X
3 وجبات تربل بوكس و زود اونيون رينجز,itemnumber PredefinedMealName PredefinedMealName PredefinedMealName X Include Topping_Include Topping_Include
عايز ارجع لقائمة تغيير البيانات,X X X X X
ممكن تخليني اشوف منيو الساندوتشات في هارديز,X X X X X X X
عايز خطواط اضافة العنوان,X X X X
ممكن اشوف الاوردر السابق برقم 645,X X X X X OrderNumber
انا بدي شوف الاوردرات السابقة,X X X X X
كان بدي اضيف عنواني,X X X X
عايز اعدل العنوان من فضلك,X X X X X
وريني الاوردرات السابقة,X X X
فيك تفرجيني القائمة الرئيسية,X X X X
داير اشوف الاشياء الي طلبتها,X X X X X
عايز اعرف شوية حاجات من فضلك,X X X X X X
عايزة 3 بيتزا بيبروني حجم صغير,X itemnumber ItemName ItemName X ItemSize
تشيف حالك,X X
ممكن اختار الرابع,X X X
هلأ اذا بدي غير رقمي شو بدي اعمول,X X X X X X X X
عايز امسح وجبة العائلة,X X ItemName ItemName
فيني احاسبك الحين,X X X
عايزة حد من خدمة العملاء,X X X X X
اغير لغة التواصل منين,X X X X
عايزة لتحدث بالانجليزية,X X Language
شيل لي العنوان,X X X
الاوردر رقم 20975 بقاله ساعتين موصلش ايه السبب,X X OrderNumber X X X X X
فرجيني طعامي المفضل,X X X
هيوصلني الاوردر امتى,X X X
انتقل للخطوة التالية,X X X
خاطرلى التحدث مع شخص من خدمه العملاء,X X X X X X X
فيني اذهب للمرحلة التالية,X X X X
عاوز اكتب عنوان البيت,X X X X
بدي شوف الطلبات السابقة قبل,X X X X X
خليني اتكلم مع انسان,X X X X
هييجي في قد ايه,X X X X
وينو الاوردر ديالي,X X X
كبير,ItemSize
بدي غير العنوان,X X X
راح فرجيكم عنواني,X X X
هاكل 2 برجر,X itemnumber ItemName
خليني اتكلم بالانجليزي,X X Language
بدي سجل عنوان البيت تبعي,X X X X X
بليز بدي اعمل اوردر,X X X X
اذا بدك تفرجيني الطلبات مرة اخرى,X X X X X X
ممكن اتتيع الاوردر لو سمحت,X X X X X
عطيني 2 ساندوتش برجر مع اكسترا شيدر صوص,X itemnumber ItemName ItemName Include X Topping_Include Topping_Include
داير سجل العنوان,X X X
عايز اتواصل مع حد من خدمة العملاء,X X X X X X X
عايز اشيل الماك دينار,X X ItemName ItemName
خليني اغير عنوان البيت المسجل,X X X X X
انا عايز اسال على حاجة,X X X X X
راح اجولك شو صاير وياي,X X X X X
شوصارلك,X
حجم صغير,X ItemSize
اهو 2 وجبة دويتو,X itemnumber ItemName ItemName
ابي اتحدث بالانجليزية,X X Language
فرجيني الاوردرز القديمة,X X X
هياخد قد ايه,X X X
خذني لقائمة تغيير البيانات لو سمحت,X X X X X X
1 برجر ساندوتش,itemnumber ItemName ItemName
وينها المشكله فى تاخير الاوردر حقى,X X X X X X
من فضلك بدي اجابة,X X X X
عايز اتابع الاوردر ده 451521 لو سمحت,X X X X OrderNumber X X
1 برجر ساندوتش,itemnumber ItemName ItemName
بدي اتحدث مع حدا يفهم علي,X X X X X X
قداي بياخد وقت,X X X
اقدر اتابع الاوردر,X X X
ممكن اشوف الأكل الي طلبتوا قبل كدا,X X X X X X X
بدى اتطلع على قوائم الفطار فى سانتوس,X X X X X X X
اقدر اشوف منيو البيتزا,X X X MenuName
الاوردر برقم 401020 موصلش ليه ممكن اتتبعه,X X OrderNumber X X X X
عايز اخد بيتزا بيبروني وسط,X X ItemName ItemName ItemSize
بلغني تمن الاوردر لو سمحت,X X X X X
فيك تفرجيني الكارت,X X X
كنت بس حابب شوف الاكل المفضل تبعي,X X X X X X X
سادة,X
لو سمحت اريد اغير رقمي,X X X X X
عندي شي استفسار,X X X
من فضلك ابعتلي الشيك,X X X X
وجبة الدويتو من فضلك,PredefinedMealName PredefinedMealName X X
لو سمحت عايز اتواصل مع حد من خدمة العملاء,X X X X X X X X X
اعرض لي الطلبات المسجلة,X X X X
كنت عايز اضيف عنوان منزلي,X X X X X
متحخلالات بابلا,X X
عاوز اطلب 3 ساندوتشات شاورمة فراخ وضيف تومية,X X itemnumber ItemName ItemName ItemName Include Topping_Include
فيك تجيبلي الحجم الكبير,X X X ItemSize
بديانى اضع هذا الرقم 201504806 كرقم اساسي لي,X X X X phone X X X
ممكن اشوف الطلبات الي فاتت,X X X X X
احضرلي طبق مكرونة مع الصوص الابيض,X ItemName ItemName Include Topping_Include Topping_Include
داير على خاطرى القى نظره على الى طلبته منك,X X X X X X X X X
سوف اقوم بتبديل رقم الهاتف,X X X X X
عايزة اعرف الحساب عمل كام,X X X X X
ممكن اطلب حاجة,X X X
فيك تعرضلي منيو المشاوي,X X X MenuName
عايز اسجل عنوان المنزل,X X X X
بدي استبدل عنواني,X X X
داير اتحدث مع حدا من خدمة العملا,X X X X X X X
فرنساوي,X
جيبلي 2 طبق ورق عنب,X itemnumber ItemName ItemName ItemName
كان بدي مساعدة,X X X
عايز الغي العنوان المسجل,X X X X
غيرت نمرتي,X X
منفضلك غير لى مكان بيتى,X X X X X
بدياه كبير,X ItemSize
قداي بياخد الأوردر,X X X
عايزة ازود وجبة الدويتو,X X ItemName ItemName
بعد اذنك عايزة حجمهم كبار,X X X X ItemSize
هاتلي واحد بيج ماك,X itemnumber ItemSize ItemName
ممكن تعرضلي الاوردر المفضل بتاعي,X X X X X
فيك تزودني بالشيك,X X X
بديالك تحللى مشكلتى,X X X
ابغى اضيف رقم ثابت,X X X X
الحساب كم,X X
عايز شوربة خضار,X ItemName ItemName
بتقدر توصلنى مع ممثل خدمه العملاء,X X X X X X
عايزة اوردر 3 ساندوتشات شاورما وسط,X X itemnumber ItemName ItemName ItemSize
بدياك تبعتلي منيو الوجبات العائلية بماكدونالدز,X X X X X X
فيني اعطيك محل الاقامة,X X X X
بدياه كومبو اذا بدك,X ItemSize X X
بياخد وقت قد ايه,X X X X
هيوصلني الاوردر في خلال اد ايه,X X X X X X
اعرضلي المنيو الاساسي من فضلك,X X X X X
اعرضلي الأكل الي طلبتوا قبل كدا لو سمحت,X X X X X X X X
ممكن احدث العنوان,X X X
فيك تساعدني تأطلب الاوردر بليز,X X X X X
فينا ننتقل لابعد هيك,X X X X
شحو العنوان,X X
عايز 2 بيتزا بيبروني حجم كبير منغير بصل,X itemnumber ItemName ItemName X ItemSize Exclude Topping_Exclude
امتى راح يوصل الاكل,X X X X
اعرض لي الاكل الي طلبته قبل كدا,X X X X X X X
اريد اضيف عنوان الدوام لتوصيل الاوردر,X X X X X X
عايزة اروح على القائمة الرئيسية,X X X X X
بدي الشيك الحين,X X X
خليني اذهب الى القائمة الرئيسية,X X X X X
ممكن اتابع الاوردر من فضلك,X X X X X
من فضلك اشوف الطلبات بتاعتي,X X X X X
ودى اتفرج على منيو البيك,X X X X X
و زود عليها سلطة كولسلو,X X X ItemName ItemName
عايز احذف عنوان بيتي,X X X X
السوبر ستار ميل لو سمحت,PredefinedMealName PredefinedMealName PredefinedMealName X X
اذهب لمرحلة الحساب,X X X
لوين الطلب 25786 وصل,X X OrderNumber X
ممكن تبعتلي الاوردرات القديمة,X X X X
اريد تقييد عنواني,X X X
لو سمحت ينفع اضيف رقم ثابت,X X X X X X
طلبلي صمونة وبر كبير,X ItemName ItemName ItemSize
بدي يسويها صغيرة,X X ItemSize
الخطوة التالية,X X
الاوردر رقم 854758 مجاش لحد دلوقتى ليه,X X OrderNumber X X X X
ممكن استعمل رقم تاني,X X X X
فيك تفرجيني الاشيا يلي طلبتها,X X X X X
ابي سجل عنوان البيت,X X X X
2 فول بال طحينة,itemnumber ItemName Include Topping_Include
ابي ضيف العنوان دابا,X X X X
مقلي,X
ممكن اشوف حساب الاكل,X X X X
الاوردر بيخلص في قد ايه,X X X X X
فيك تعرضلي وجبتي المفضلة,X X X X
عطيني الطلبات المسجلة,X X X
اذا ما عليك امر بغيت اعدل رقم الهاتف,X X X X X X X X
هستلم الأكل امتى,X X X
فيني غير اللغة الى الانجليزية,X X X X Language
ازقرت,X
ممكن تبعتلي الاوردر من الاول,X X X X X
عايز 3 بيتزا بيبروني حجم كبير,X itemnumber ItemName ItemName X ItemSize
ابغى غير رقم الموبايل حجي,X X X X X
بدي اعرف الاوردر وصل لوين,X X X X X
فيني اطلب الحجم الصغير,X X X ItemSize
حدثلى رقم جوالى للرقم 201524857,X X X X phone
ابي حدث العنوان حجي,X X X X
اذا فيك تغيرلي اللغة فرنسي,X X X X Language
لارج,ItemSize
بلكي اتحدث مع ممثل خدمة عملاء,X X X X X X
فاضله قد ايه,X X X
ابغى الغي وجبة الميجا ماك,X X ItemName ItemName ItemName
داير بدل رقم الجوال 01225899655,X X X X phone
تقدر تعاوني,X X
فيني استرجع الاوردرات المسجلة,X X X X
عايز اغير لغة التواصل,X X X X
زيادة,X
ابي اسأل عن شي يا اخي,X X X X X X
اريد الاطلاع على الكارت,X X X X
ما اجا الاوردر للحين,X X X X
أزول فلاون,X X
وش الحل ولا راح ابطل,X X X X X
بدي اختار الأول,X X X
فيني تابع الاوردر,X X X
ابغى اغير العنوان,X X X
ممكن ترجعني لقائمة تغيير البيانات,X X X X X
فيني راجع على الاوردر,X X X X
اريد استبدال عنواني,X X X
شو الاكل يلي عندكن,X X X X
صار فيك تتابعلي الاوردر,X X X X
داير غير اللغة,X X X
بدي طبق فرايز مع بيبسي,X ItemName ItemName Include Topping_Include
خليني شوف ركن الاطباق الجانبية,X X X MenuName Language
هلأ بدي اطلب تشكيلة مقبلات,X X X ItemName ItemName
عندي مشكلة في طلب الاوردر,X X X X X
من فضلك 3 شاورما ساندوتش و شيل التومية,X X itemnumber ItemName ItemName X Exclude Topping_Exclude
ممكن اضيف عنوان سكني,X X X X
ممكن اشوف المنيو,X X X
بدي تابع باللغة الانجليزية اذا بتريد,X X X Language X X
فيني اغير العنوان,X X X
فيني ضيف عنوان البيت تبعي,X X X X X
ممكن تبعتلي قائمة المعجنات,X X X MenuName
فيني اذهب لشي الخطوة التالية,X X X X X
فيك تخبرني شو يلي موجود بمنيو المقبلات بستيك اوت,X X X X X X X X X
ارغب فى تحديث رقم هاتفى القديم الى الرقم 01250254100,X X X X X X X X phone
سويلي هاي الاوردر بليز 2 بيتزا مارجريتا مع بيبسي,X X X X ItemSize ItemName ItemName Include Topping_Include
خليني اشوف الاوردر مرة تانية,X X X X X
ما بدي بصل,Exclude Exclude Topping_Exclude
ممكن استرجع الطلبات السابقة,X X X X
هدى العنوان حجي,X X X
اعرض لي الاوردر من الاول لو سمحت,X X X X X X X
بلكي احذف وجبة الدويتو بليز,X X ItemName ItemName X
بدي غير رقم الجوال تبعي 01002013337,X X X X X phone
ممكن الحساب,X X
ممكن اتايع الطلبات وصلت لحد فين,X X X X X X
اذا فيك تخليني ضيف عنوان البيت,X X X X X X
محتاجة اسأل على حاجة,X X X X
ممكن اغير عنوانى,X X X
عايز اضيف عنوان البيت,X X X X
ايه الخطوة الي جاية,X X X X
فيني ارجع لقائمة تحديث البيانات,X X X X X
هبعت عنوان بيتي,X X X
كيداير,X
هلا بوت,X X
ابعتلي منيو الوجبات العائلية في بيتزا هت,X X X X X X X
ممكن اتابع الأوردر الي طلبته من شوية,X X X X X X X
